Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,Nivel1,Nivel2,Nivel3,FccTot,FccArb,DisEsp,ComEsp,Tesela,Poligon,TipEstr,Huso
45,"0534","A",,"626","326890","4427793","1","1","3",,"45","9",,,1133901,34,30
45,"0535","A",,"626","327902","4427772","1","1","3",,"35","9",,,1133682,34,30
45,"0538","A",,"626","337890","4427793","1","1","1",,"20","6",,,1126374,18,30
45,"0543","A",,"626","320890","4426793","1","1","3",,"35","9",,,1133680,34,30
45,"0545","A",,"626","323898","4426802","1","1","3",,"45","9",,,1134005,34,30
45,"0546","A",,"626","324906","4426795","1","1","3",,"20","9",,,1133362,34,30
45,"0548","A",,"626","326910","4426794","1","1","3",,"40","9",,,1133786,34,30
45,"0549","A",,"626","327890","4426793","1","1","3",,"40","9",,,1133786,34,30
45,"0552","A",,"626","318861","4425752","1","1","3",,"40","9",,,1133795,34,30
45,"0557","A",,"626","323890","4425793","1","2","3",,"15","9",,,1132896,34,30
45,"0558","A",,"626","324890","4425793","1","1","3",,"40","9",,,1133780,34,30
45,"0560","A",,"626","326890","4425793","1","1","3",,"35","9",,,1133771,34,30
45,"0563","A",,"626","329875","4425799","1","1","1",,"45","1",,,1128065,18,30
45,"0565","A",,"626","319913","4424786","1","1","3",,"30","9",,,1133513,34,30
45,"0567","A",,"626","321862","4424822","1","1","3",,"30","9",,,1133533,34,30
45,"0570","A",,"626","324890","4424793","1","1","3",,"40","9",,,1133797,34,30
45,"0571","A",,"626","325896","4424811","1","1","3",,"30","9",,,1133605,34,30
45,"0573","A",,"626","327885","4424807","1","1","3",,"30","9",,,1133512,34,30
45,"0575","A",,"626","318890","4423793","1","1","3",,"30","9",,,1133604,34,30
45,"0579","A",,"626","322899","4423806","1","1","3",,"40","9",,,1133851,34,30
45,"0582","A",,"626","325913","4423819","1","1","3",,"20","9",,,1133127,34,30
45,"0583","A",,"626","326910","4423793","1","1","3",,"20","9",,,1133127,34,30
45,"0584","A",,"626","327890","4423793","1","1","3",,"30","9",,,1133512,34,30
45,"0585","A",,"626","328860","4423805","1","1","2",,"45","1",,,1131986,41,30
45,"0588","A",,"626","321889","4422808","1","1","3",,"25","9",,,1133433,34,30
45,"0590","A",,"626","323884","4422804","1","2","3",,"15","9",,,1133002,34,30
45,"0591","A",,"626","324898","4422780","1","1","3",,"25","9",,,1133434,34,30
45,"0592","A",,"626","325889","4422813","1","2","3",,"10","9",,,1132793,34,30
45,"0594","A",,"626","327902","4422803","1","1","3",,"30","9",,,1133532,34,30
45,"0597","A",,"626","319914","4421784","1","1","3",,"35","9",,,1133729,34,30
45,"0598","A",,"626","320891","4421780","1","1","3",,"25","9",,,1133433,34,30
45,"0600","A",,"626","322890","4421793","1","2","3",,"15","9",,,1133002,34,30
