Estrato,Estadillo,Cla,Subclase,Especie,CD,NPies,ABas,VCC,VSC,IAVC,VLE,BA,BR,CA,CR,Proceso,Provincia
"02","1135","A","1","045",10,636.6203100977531,4.62365,8.957013120021612,4.761035971218549,0.4363972905839693,2.516250912501923,18.54999684872946,14.95302824366006,9.274998424364732,7.476514121830029,"45","45"
"02","1135","A","1","045",15,95.49304651466295,1.45268125,2.709607280637588,1.826408959019804,0.1004912599040483,0.9672727649505463,5.91266615418628,4.698016450268813,2.95633307709314,2.349008225134407,"45","45"
"01","1137","A","1","045",10,127.3240620195506,1.334025,2.791733768633145,1.803814197806892,0.1090340116783814,0.7965334835407696,5.352083212640733,4.314278438625028,2.676041606320366,2.157139219312514,"45","45"
"01","1137","A","1","045",15,127.3240620195506,1.75518125,3.611366614724161,2.445901454198784,0.1271162002302263,1.133961810614879,7.078308962443717,5.67631088079603,3.539154481221858,2.838155440398015,"45","45"
"01","1137","A","1","045",25,28.29423600434458,1.235236111111111,2.162883546593552,1.698093825434784,0.05222580713494272,1.104647037592147,6.286560842099976,3.994792092185451,3.143280421049988,1.997396046092726,"45","45"
"01","1137","A","1","045",55,5.092962480782025,1.227664,2.033473045542547,1.756108331969104,0.0214281159275876,1.780317561101776,8.25920286626593,3.970303648789308,4.129601433132965,1.985151824394654,"45","45"
"01","1137","A","1","045",65,5.092962480782025,1.607824,2.871652328802735,2.505058197291949,0.02415251556591948,2.516576356279107,13.03903635547805,5.199752940390058,6.519518177739025,2.599876470195029,"45","45"
"01","1138","A","1","045",10,509.2962480782024,4.165675,8.182757676859477,4.432304310698512,0.3761620082944583,2.332252660165429,16.71260976129922,13.4719228161536,8.356304880649608,6.735961408076802,"45","45"
"01","1138","A","1","045",15,222.8171085342136,3.70636875,7.104840272889771,4.846499874450124,0.2463557462891949,2.530056986602184,15.28048333900072,11.98651208464504,7.64024166950036,5.993256042322518,"45","45"
"02","1139","A","1","045",15,127.3240620195506,2.370275,4.625999908934889,3.273815962137081,0.1495462748966039,1.672394545143421,9.930385617477413,7.665543244026114,4.965192808738706,3.832771622013057,"45","45"
"02","1139","A","1","045",60,5.092962480782025,1.340964,2.458538866204313,2.135119880661259,0.02229239425355592,1.993810355117742,11.12410540140502,4.33671938095041,5.562052700702512,2.168359690475205,"45","45"
